Processor,Price,URL
intelcorei312100,9750,https://zheleza.net/cpu/lga1700_cat/processor-intel-core-i3-12100--cm8071504651012--oem
intelcorei512600k,19800,"https://www.dns-shop.ru/product/fb43a90e0186ed20/processor-intel-core-i5-12600k-box/characteristics/, https://zheleza.net/cpu/lga1700_cat/intel-core-i5-12600k-oem"
intelcorei314100f,10740,https://zheleza.net/cpu/lga1700_cat/processor-intel-core-i3-14100f-oem
intelcorei514400f,18960,https://zheleza.net/cpu/lga1700_cat/processor-intel-core-i5-14400f-oem
intelcorei911900k,27299,https://www.dns-shop.ru/product/39bb11ad280ced20/processor-intel-core-i9-11900k-oem/characteristics/
amdryzen54500,7099,https://www.dns-shop.ru/product/d237e136aff1ed20/processor-amd-ryzen-5-4500-oem/characteristics/
amdfx4300,1599,https://www.dns-shop.ru/product/c3c60e33a1982ff1/processor-amd-fx-4300-box/characteristics/
intelcorei512600t,25999,https://www.dns-shop.ru/product/283bc48a4e79ed20/processor-intel-core-i5-12600t-oem/characteristics/
intelcorei712700k,29599,https://www.dns-shop.ru/product/2167ec08fccaed20/processor-intel-core-i7-12700k-oem/characteristics/
intelcorei512500,18460,https://zheleza.net/index.php?route=product/product&path=502_2190&product_id=137372
intelcorei513400,18250,https://zheleza.net/cpu/lga1700_cat/product--protsessor-intel-core-i5-13400-lga1700-10-x-3200-mgts
amdryzen34100,6899,https://www.dns-shop.ru/product/fa958f0daff2ed20/processor-amd-ryzen-3-4100-oem/characteristics/
amdryzen75700x3d,26499,https://www.dns-shop.ru/product/b947f5c7e0e1ed20/processor-amd-ryzen-7-5700x3d-box/characteristics/
intelcorei313100,12760,https://zheleza.net/cpu/lga1700_cat/product--protsessor-intel-core-i3-13100-lga1700-4-x-3400-mgts
intelcelerong6900,5790,https://zheleza.net/cpu/lga1700_cat/processor-intel-celeron-g6900-oem
intelcorei513400f,16530,https://zheleza.net/cpu/lga1700_cat/product--protsessor-intel-core-i5-13400f-lga1700-10-x-3200-mgts-oem
intelcorei312100f,6680,https://zheleza.net/cpu/lga1700_cat/processor-intel-core-i3-12100f-oem-cm8071504651013
intelcorei513600k,28250,https://zheleza.net/cpu/lga1700_cat/product--protsessor-intel-core-i5-13600k-lga1700-14-x-3500-mgts
intelcorei314100,13950,https://zheleza.net/cpu/lga1700_cat/processor-intel-core-i3-14100-oem
intelcorei514400,22500,"https://www.dns-shop.ru/product/ddfbe6adb047ed20/processor-intel-core-i5-14400-oem/characteristics/, https://zheleza.net/cpu/lga1700_cat/processor-intel-core-i5-14400-oem"
intelcorei513600kf,24940,"https://www.dns-shop.ru/product/9d0e9a293f90ed20/processor-intel-core-i5-13600kf-oem/characteristics/, https://zheleza.net/cpu/lga1700_cat/product--protsessor-intel-core-i5-13600kf-lga1700-14-x-3500-mgts"
amdryzen33200g,7199,https://www.dns-shop.ru/product/588277aa3347ed20/processor-amd-ryzen-3-3200g-oem/characteristics/
intelcorei512400f,9930,https://zheleza.net/cpu/lga1700_cat/intel_core_i512400f_oem
amda89600,4299,https://www.dns-shop.ru/product/626dc3297e3f3330/processor-amd-a8-9600-oem/characteristics/
intelcorei514500,25310,"https://www.dns-shop.ru/product/bdc6ee58b046ed20/processor-intel-core-i5-14500-oem/characteristics/, https://zheleza.net/cpu/lga1700_cat/processor-intel-core-i5-14500-oem"
intelcorei513500,23700,"https://www.dns-shop.ru/product/2e9716daa750ed20/processor-intel-core-i5-13500-oem/characteristics/, https://zheleza.net/cpu/lga1700_cat/product--protsessor-intel-core-i5-13500-lga1700-14-x-2500-mgts"
intelcorei512600kf,19450,https://zheleza.net/cpu/lga1700_cat/intel-core-i5-12600kf-oem
intelpentiumgoldg6400,7199,https://www.dns-shop.ru/product/1e516fdd6a793332/processor-intel-pentium-gold-g6400-oem/characteristics/
intelcorei313100f,9090,https://zheleza.net/cpu/lga1700_cat/product--protsessor-intel-core-i3-13100f-lga1700-4-x-3400-mgts
intelcorei512400,12600,https://zheleza.net/cpu/lga1700_cat/core-i5-12400-oem
amdryzen77700,26499,https://www.dns-shop.ru/product/de177556e959ed20/processor-amd-ryzen-7-7700-oem/characteristics/
intelcorei712700kf,27499,https://www.dns-shop.ru/product/9525d6f70717ed20/processor-intel-core-i7-12700kf-oem/characteristics/
